WeatherID,CityID,Date,Temperature_C,FeelsLike_C,Humidity_pct,WindSpeed_kmh,Pressure_mb,Visibility_km,CloudCover_pct,Precipitation_mm,UVIndex,Condition
41,1,2025-08-24,25.7,25.3,28,13.8,1012.0,7.5,71,7.7,4,Heavy Rain
42,1,2025-08-25,27.3,29.2,50,12.5,1014.9,10.9,48,0,6,Sunny
43,1,2025-08-26,25.6,27.2,68,19.3,1006.5,9.1,44,3.5,5,Sunny
44,1,2025-08-27,25.6,25.0,34,17.8,1009.1,10.8,51,7.8,3,Heavy Rain
45,1,2025-08-28,26.8,30.2,30,5.1,1017.4,6.8,39,0,6,Thunderstorm
46,1,2025-08-29,27.2,28.1,43,11.8,1015.5,6.2,13,0,5,Sunny
47,1,2025-08-30,23.9,23.8,58,16.3,1007.8,8.7,50,13.2,5,Partly Cloudy
48,1,2025-08-31,26.2,26.8,55,13.4,1017.0,11.7,26,0.0,1,Light Rain
49,1,2025-09-01,25.4,23.9,45,18.7,1020.0,4.1,9,8.8,2,Sunny
50,1,2025-09-02,24.6,25.3,54,16.5,1012.0,7.9,22,7.4,7,Sunny
51,1,2025-09-03,26.6,25.2,45,16.0,1019.5,9.6,63,9.0,7,Sunny
52,1,2025-09-04,25.1,27.4,65,5.9,1017.9,9.9,28,5.0,5,Cloudy
53,1,2025-09-05,28.5,28.7,45,4.9,1005.2,5.6,61,2.8,6,Sunny
54,1,2025-09-06,26.8,28.1,61,13.6,1020.1,9.2,30,0,3,Sunny
55,1,2025-09-07,27.6,30.9,63,12.7,1007.6,12.5,69,2.4,5,Light Rain
56,1,2025-09-08,26.6,25.6,54,13.4,999.4,8.0,38,14.4,5,Partly Cloudy
57,1,2025-09-09,25.6,26.0,46,11.8,1017.5,5.2,95,13.4,3,Light Rain
58,1,2025-09-10,25.7,27.9,39,15.9,1010.0,10.1,16,0,5,Light Rain
59,1,2025-09-11,24.8,27.6,63,10.1,1014.3,7.7,12,5.8,5,Thunderstorm
60,1,2025-09-12,24.4,24.0,62,13.4,1005.8,11.8,18,3.9,5,Foggy
61,1,2025-09-13,23.9,26.0,35,12.6,1007.8,5.6,1,4.6,6,Light Rain
62,1,2025-09-14,25.0,26.4,66,5.9,1012.2,5.3,64,0,8,Sunny
63,1,2025-09-15,24.8,23.9,63,14.4,1001.1,8.1,52,7.8,2,Clear
64,1,2025-09-16,26.1,26.0,62,14.7,1013.3,9.2,61,11.4,5,Sunny
65,1,2025-09-17,28.4,29.7,57,9.5,1015.7,6.9,68,0,3,Sunny
66,1,2025-09-18,23.8,27.0,63,2.8,1012.6,8.2,51,2.6,5,Sunny
67,1,2025-09-19,26.3,26.3,68,11.9,1011.7,5.6,50,0,3,Partly Cloudy
68,1,2025-09-20,27.8,31.3,58,9.6,1018.9,5.8,19,7.9,5,Sunny
69,1,2025-09-21,26.8,26.1,63,13.8,1017.6,9.0,28,1.2,5,Light Rain
70,1,2025-09-22,25.8,27.7,83,19.8,1006.1,6.4,19,9.8,4,Cloudy
71,1,2025-09-23,26.7,29.7,63,10.3,1013.6,10.9,45,0,5,Light Rain
72,1,2025-09-24,27.0,30.2,68,6.2,1011.0,9.6,48,0,6,Sunny
73,1,2025-09-25,24.0,27.3,70,6.4,1033.5,6.0,36,0,8,Partly Cloudy
74,1,2025-09-26,26.8,29.9,66,14.8,1018.2,7.1,23,8.7,6,Partly Cloudy
75,1,2025-09-27,26.9,29.7,49,18.7,1007.6,14.9,57,0,3,Partly Cloudy
76,1,2025-09-28,28.4,28.9,64,2,1009.4,7.3,19,0.7,6,Partly Cloudy
77,1,2025-09-29,27.3,28.9,61,8.6,997.9,7.3,9,7.5,9,Cloudy
78,1,2025-09-30,24.7,24.0,88,6.0,1008.6,15.5,88,9.7,4,Sunny
79,1,2025-10-01,28.7,29.7,41,6.2,1009.3,13.7,64,0,3,Foggy
80,1,2025-10-02,27.0,29.9,40,14.6,1007.4,9.6,20,7.0,4,Heavy Rain
81,1,2025-10-03,25.9,25.9,15,2.4,1007.6,9.1,23,0,3,Partly Cloudy
82,1,2025-10-04,26.1,25.5,39,9.9,1003.6,9.4,88,10.0,6,Light Rain
83,1,2025-10-05,28.6,29.0,31,4.1,1018.0,8.6,74,2.1,2,Thunderstorm
84,1,2025-10-06,26.7,27.8,29,4.3,1013.6,5.9,65,4.3,7,Clear
85,1,2025-10-07,26.2,28.2,28,4.1,1018.1,5.0,29,4.1,4,Thunderstorm
86,1,2025-10-08,24.7,23.5,20,4.3,1001.1,13.1,44,0,5,Cloudy
87,1,2025-10-09,28.9,29.6,34,2,1021.3,10.3,38,6.1,7,Cloudy
88,1,2025-10-10,28.5,27.8,60,20.9,1016.8,7.6,32,3.3,4,Partly Cloudy
89,1,2025-10-11,25.8,25.6,72,12.5,1018.3,6.8,60,5.9,3,Cloudy
90,1,2025-10-12,26.6,26.4,61,13.9,1007.7,6.8,64,1.1,8,Cloudy
91,1,2025-10-13,29.5,29.5,67,11.0,1009.8,12.2,29,0,8,Partly Cloudy
92,1,2025-10-14,29.0,28.9,51,14.1,1003.2,6.9,73,0,3,Light Rain
93,1,2025-10-15,27.8,30.5,23,4.2,1007.9,7.3,14,3.4,5,Sunny
94,1,2025-10-16,28.2,27.6,39,16.2,1016.5,12.0,40,10.2,3,Sunny
95,1,2025-10-17,28.6,29.5,54,4.2,1009.4,10.0,58,0,9,Light Rain
96,1,2025-10-18,29.4,32.7,39,13.6,1005.6,9.1,41,0,4,Light Rain
97,1,2025-10-19,27.9,29.3,61,2,1014.4,10.1,96,2.5,1,Sunny
98,1,2025-10-20,24.8,27.4,32,15.6,1008.3,7.8,52,5.3,4,Partly Cloudy
99,1,2025-10-21,25.0,27.9,56,16.1,1006.3,5.4,70,0,5,Partly Cloudy
100,1,2025-10-22,25.0,25.9,36,2,1019.1,11.4,50,0,7,Thunderstorm
101,1,2025-10-23,25.0,26.9,15,8.2,1007.2,11.0,50,3.3,6,Cloudy
102,1,2025-10-24,27.7,29.2,32,20.7,1012.4,9.1,58,0,5,Light Rain
103,1,2025-10-25,25.5,25.1,54,8.7,1018.7,13.3,94,0.7,6,Sunny
104,1,2025-10-26,25.4,27.2,51,12.9,1011.2,9.5,27,0,6,Sunny
105,1,2025-10-27,28.2,29.3,45,6.3,1012.3,6.0,68,5.0,6,Light Rain
106,1,2025-10-28,28.8,29.9,43,2,1015.0,11.6,56,0,7,Partly Cloudy
107,1,2025-10-29,29.0,27.9,63,15.3,1015.4,9.8,24,0,2,Cloudy
108,1,2025-10-30,26.8,28.3,88,18.3,1016.4,11.2,16,1.6,2,Sunny
109,1,2025-10-31,26.8,26.4,36,16.7,1008.7,9.6,12,4.4,4,Foggy
110,1,2025-11-01,21.8,24.5,51,13.9,1012.5,8.7,0,0,4,Cloudy
111,1,2025-11-02,23.1,22.2,32,17.9,1011.0,4.0,33,0,3,Cloudy
112,1,2025-11-03,22.6,24.4,37,12.4,1013.8,10.3,25,1.1,2,Heavy Rain
113,1,2025-11-04,25.7,29.1,54,5.7,1010.1,8.5,87,0,5,Light Rain
114,1,2025-11-05,23.0,23.2,54,22.1,1011.5,6.7,35,5.8,7,Sunny
115,1,2025-11-06,25.2,24.8,33,14.2,1004.4,11.9,50,0,6,Sunny
116,1,2025-11-07,24.6,26.5,48,11.0,1019.8,6.3,47,0,8,Sunny
117,1,2025-11-08,23.6,23.5,37,6.8,1010.1,8.3,18,5.5,7,Sunny
118,1,2025-11-09,22.2,22.0,46,11.7,1011.7,9.0,29,0,7,Partly Cloudy
119,1,2025-11-10,25.7,28.2,72,16.4,1012.1,9.1,89,0,3,Light Rain
120,1,2025-11-11,23.6,22.7,36,16.4,1011.7,10.1,12,7.1,1,Sunny
121,1,2025-11-12,25.7,25.4,29,8.8,1006.9,10.3,33,5.1,6,Sunny
122,1,2025-11-13,24.0,27.0,61,7.3,1018.8,10.9,3,0.8,6,Sunny
123,1,2025-11-14,24.5,26.8,40,9.4,1012.0,6.1,46,0,1,Cloudy
124,1,2025-11-15,24.7,26.3,56,16.6,1004.7,9.5,53,0,6,Sunny
125,1,2025-11-16,21.8,22.8,39,17.1,1021.6,10.7,89,6.1,7,Partly Cloudy
126,1,2025-11-17,23.8,25.1,29,14.8,998.7,4.7,59,0,4,Partly Cloudy
127,1,2025-11-18,22.3,21.1,71,18.5,1005.7,12.3,30,0.4,5,Partly Cloudy
128,1,2025-11-19,24.1,23.4,61,9.2,1014.5,7.1,57,0,3,Cloudy
129,1,2025-11-20,21.8,20.8,40,8.3,1009.6,5.4,87,0,4,Sunny
130,1,2025-11-21,23.2,26.5,62,10.4,1005.3,4.1,12,0,7,Heavy Rain
131,1,2025-11-22,25.6,27.5,57,4.8,1008.1,6.2,29,0,4,Sunny
132,1,2025-11-23,22.6,25.8,56,8.4,1011.4,9.7,53,2.0,4,Light Rain
133,1,2025-11-24,25.7,28.6,58,13.1,1011.3,7.7,34,3.0,7,Heavy Rain
134,1,2025-11-25,22.3,23.0,23,5.6,1015.8,9.2,72,0,8,Partly Cloudy
135,1,2025-11-26,24.2,24.2,51,6.8,1013.9,6.9,100,0,3,Partly Cloudy
136,1,2025-11-27,24.1,27.4,48,15.7,1001.2,10.2,59,0,2,Cloudy
137,1,2025-11-28,22.0,24.7,52,8.7,1011.4,7.0,57,0,1,Sunny
138,1,2025-11-29,23.8,24.0,59,13.6,1011.3,7.2,45,6.3,5,Sunny
139,1,2025-11-30,26.2,28.9,29,4.8,1014.2,10.6,64,0,7,Partly Cloudy
140,1,2025-12-01,18.5,17.4,63,11.6,1022.4,5.2,33,0,5,Sunny
141,1,2025-12-02,20.0,18.7,22,16.3,1008.2,9.3,73,0,7,Sunny
142,1,2025-12-03,19.2,19.8,47,9.2,1008.1,5.8,63,14.5,8,Sunny
143,1,2025-12-04,21.1,22.1,64,11.5,1005.8,10.8,0,0,5,Light Rain
144,1,2025-12-05,20.2,22.4,48,6.1,1003.6,8.8,23,7.7,6,Heavy Rain
145,1,2025-12-06,19.4,21.8,22,13.7,1003.6,5.6,85,4.5,3,Sunny
146,1,2025-12-07,19.5,18.2,48,17.5,1008.1,12.1,43,0.3,8,Sunny
147,1,2025-12-08,20.3,22.7,54,8.6,1015.1,10.7,77,0,7,Clear
148,1,2025-12-09,21.0,22.0,36,17.4,1007.7,10.3,7,7.7,6,Heavy Rain
149,1,2025-12-10,21.2,21.3,64,15.5,1008.2,12.2,11,4.6,5,Thunderstorm
150,1,2025-12-11,20.3,23.8,49,9.9,1027.6,9.9,42,0,4,Heavy Rain
151,1,2025-12-12,21.9,25.2,58,17.3,1011.3,8.3,85,4.8,4,Cloudy
152,1,2025-12-13,21.5,23.4,56,16.6,1009.2,9.3,12,0,5,Cloudy
153,1,2025-12-14,19.7,18.8,43,6.1,1005.2,11.1,44,5.1,0,Sunny
154,1,2025-12-15,23.1,24.1,62,19.0,1019.2,3.9,61,0,5,Light Rain
155,1,2025-12-16,22.7,22.8,42,13.5,998.8,7.6,68,0,8,Heavy Rain
156,1,2025-12-17,21.0,20.1,36,12.8,1014.1,9.1,39,0,4,Heavy Rain
157,1,2025-12-18,21.3,22.9,56,14.2,1020.6,9.0,3,0,5,Clear
158,1,2025-12-19,21.7,22.4,40,10.0,1006.0,12.1,15,0,4,Clear
159,1,2025-12-20,20.7,23.8,52,12.9,1013.1,10.2,28,9.0,2,Thunderstorm
160,1,2025-12-21,22.7,22.5,74,7.8,1005.3,10.5,60,0,5,Sunny
161,1,2025-12-22,23.2,22.5,32,5.3,1001.9,6.1,2,0,6,Cloudy
162,1,2025-12-23,21.4,23.2,46,12.6,1004.8,7.1,23,0,4,Clear
163,1,2025-12-24,20.9,23.4,40,8.1,1012.9,9.4,18,3.1,6,Partly Cloudy
164,1,2025-12-25,22.1,24.3,65,20.7,998.5,10.6,63,0,4,Partly Cloudy
165,1,2025-12-26,19.8,19.5,55,14.4,1004.8,11.3,46,12.5,6,Cloudy
166,1,2025-12-27,20.1,22.4,56,6.0,1011.1,6.9,45,14.8,6,Partly Cloudy
167,1,2025-12-28,23.3,22.9,42,13.3,998.6,9.2,29,0,1,Partly Cloudy
168,1,2025-12-29,22.9,25.0,38,12.4,1005.3,6.4,64,3.1,7,Sunny
169,1,2025-12-30,21.0,23.3,37,26.8,1009.7,7.9,70,0,6,Foggy
170,1,2025-12-31,22.3,21.8,32,6.1,1010.6,10.3,49,0,7,Partly Cloudy
171,1,2026-01-01,20.5,21.6,35,18.1,1020.6,15.5,44,0,3,Cloudy
172,1,2026-01-02,21.0,21.0,69,13.9,1005.7,5.8,0,0,3,Light Rain
173,1,2026-01-03,20.9,19.5,15,14.1,1013.1,4.8,10,0,4,Cloudy
174,1,2026-01-04,20.6,23.3,40,16.5,1018.3,15.0,57,1.4,5,Partly Cloudy
175,1,2026-01-05,18.3,20.3,23,16.6,1021.7,6.6,44,0,6,Partly Cloudy
176,1,2026-01-06,20.8,21.9,53,10.8,1014.4,10.9,33,0,8,Light Rain
177,1,2026-01-07,20.7,22.7,37,9.9,1011.2,12.2,56,16.4,5,Sunny
178,1,2026-01-08,21.0,21.1,57,5.2,1022.4,9.6,26,7.0,7,Partly Cloudy
179,1,2026-01-09,22.4,25.0,71,9.5,1009.8,11.0,40,0,4,Partly Cloudy
180,1,2026-01-10,18.5,19.7,49,19.0,1007.2,11.2,71,0,4,Cloudy
181,1,2026-01-11,20.2,21.9,60,13.7,1010.4,7.9,45,0,1,Partly Cloudy
182,1,2026-01-12,22.2,25.1,34,8.7,1011.6,11.1,40,0,2,Sunny
183,1,2026-01-13,20.4,21.6,39,2,1014.2,8.2,56,0,11,Partly Cloudy
184,1,2026-01-14,20.0,23.2,20,23.1,1007.8,9.2,43,0,5,Clear
185,1,2026-01-15,18.9,22.3,28,10.4,1021.8,7.2,29,1.3,6,Partly Cloudy
186,1,2026-01-16,18.8,18.2,51,11.3,1000.4,5.2,28,5.8,9,Thunderstorm
187,1,2026-01-17,21.6,22.7,64,15.9,1012.3,10.3,37,4.6,5,Light Rain
188,1,2026-01-18,22.3,22.3,56,11.9,1010.1,6.8,13,3.3,5,Partly Cloudy
189,1,2026-01-19,19.5,20.5,63,7.2,1009.9,10.2,63,0,4,Sunny
190,1,2026-01-20,18.3,20.5,38,7.9,1007.2,6.3,36,0,4,Sunny
191,1,2026-01-21,18.7,21.0,49,10.5,1002.2,10.3,73,4.1,7,Partly Cloudy
192,1,2026-01-22,20.4,19.6,52,9.1,1017.4,10.3,56,0,5,Partly Cloudy
193,1,2026-01-23,21.5,22.3,28,11.5,1017.2,10.0,59,0,2,Light Rain
194,1,2026-01-24,20.4,19.1,62,11.0,1012.8,14.8,43,13.2,7,Sunny
195,1,2026-01-25,19.5,21.8,49,2,1007.2,6.9,70,0.2,8,Partly Cloudy
196,1,2026-01-26,20.9,22.7,21,4.9,1008.9,8.1,58,0,4,Light Rain
197,1,2026-01-27,18.6,17.1,57,12.6,1007.5,6.2,0,0,5,Sunny
198,1,2026-01-28,22.2,24.3,59,18.9,1018.1,5.3,66,1.3,5,Sunny
199,1,2026-01-29,18.0,16.7,26,7.5,1020.4,10.2,30,3.0,6,Sunny
200,1,2026-01-30,20.0,19.9,74,15.3,1002.1,7.6,76,0,3,Partly Cloudy
201,1,2026-01-31,18.2,20.0,47,16.2,1024.6,11.3,85,0,4,Partly Cloudy
202,1,2026-02-01,25.4,28.6,34,7.8,1001.7,7.9,69,4.0,7,Light Rain
203,1,2026-02-02,22.9,25.6,38,19.4,1015.6,3.8,0,0,4,Sunny
204,1,2026-02-03,21.5,23.2,42,20.6,1005.5,12.4,67,2.2,6,Light Rain
205,1,2026-02-04,23.5,26.4,55,19.8,1009.8,5.8,0,2.1,3,Sunny
206,1,2026-02-05,25.2,28.5,78,26.6,1026.9,7.2,47,0,4,Foggy
207,1,2026-02-06,23.3,25.7,31,16.2,1008.0,10.5,16,0,10,Partly Cloudy
208,1,2026-02-07,24.7,27.8,70,8.4,1015.5,7.4,38,3.3,6,Foggy
209,1,2026-02-08,23.4,24.0,53,15.7,1002.7,12.2,9,0.5,4,Heavy Rain
210,1,2026-02-09,25.3,27.0,34,9.0,1011.2,9.4,30,0,3,Foggy
211,1,2026-02-10,23.2,24.9,49,12.5,1019.3,4.1,24,0,2,Sunny
212,1,2026-02-11,24.0,22.5,60,7.2,1010.8,6.3,20,0,3,Partly Cloudy
213,1,2026-02-12,20.5,21.8,63,12.5,1008.4,15.8,91,1.7,3,Foggy
214,1,2026-02-13,21.0,20.0,21,13.9,1014.2,4.5,37,0,7,Partly Cloudy
215,1,2026-02-14,22.5,23.8,56,11.8,1006.3,4.6,17,0,5,Partly Cloudy
216,1,2026-02-15,23.3,22.1,38,15.1,1011.2,6.3,45,2.2,2,Thunderstorm
217,1,2026-02-16,21.0,22.1,55,12.9,1019.5,5.1,37,0.8,9,Thunderstorm
218,1,2026-02-17,23.3,22.0,60,15.9,1008.7,12.2,37,0.6,2,Partly Cloudy
219,1,2026-02-18,20.9,20.2,47,21.5,1001.2,12.4,24,9.3,9,Light Rain
220,1,2026-02-19,23.0,26.4,80,17.1,1013.1,10.2,26,2.3,0,Partly Cloudy
221,1,2026-02-20,24.4,23.0,38,27.5,1005.4,9.1,70,0,4,Sunny
222,1,2026-02-21,23.6,26.1,25,11.5,1008.6,11.2,78,0,3,Partly Cloudy
223,1,2026-02-22,21.0,19.5,40,16.4,1010.6,10.3,55,6.5,3,Sunny
224,1,2026-02-23,22.3,21.3,40,8.4,1007.9,7.4,59,0,6,Foggy
225,1,2026-02-24,25.0,28.4,37,10.7,1008.6,9.9,36,7.1,7,Partly Cloudy
226,1,2026-02-25,22.9,21.8,51,12.0,1015.5,6.6,21,1.5,6,Partly Cloudy
227,1,2026-02-26,25.2,25.4,25,5.8,1008.4,11.0,65,0,6,Partly Cloudy
228,1,2026-02-27,25.2,24.7,44,6.9,1025.3,11.0,41,0,3,Cloudy
229,1,2026-02-28,21.7,22.1,51,7.4,1016.8,11.1,19,0,4,Clear
230,1,2026-03-01,27.8,29.8,28,8.2,1012.9,7.4,2,2.2,5,Partly Cloudy
231,1,2026-03-02,28.7,28.4,32,5.3,1011.6,8.0,74,0.1,5,Foggy
232,1,2026-03-03,29.0,30.2,55,13.2,1005.5,11.5,26,0,6,Light Rain
233,1,2026-03-04,28.8,29.1,42,10.8,1020.0,8.6,11,6.4,9,Sunny
234,1,2026-03-05,26.8,27.9,42,5.5,1010.1,6.6,33,0,9,Cloudy
235,1,2026-03-06,28.0,28.2,52,12.4,997.8,12.2,89,10.0,8,Partly Cloudy
236,1,2026-03-07,26.5,27.4,55,6.7,1012.0,8.3,24,0,10,Sunny
237,1,2026-03-08,29.7,31.4,41,9.3,1015.5,8.8,52,3.7,2,Sunny
238,1,2026-03-09,27.5,26.9,31,8.6,1006.1,12.4,51,3.1,10,Partly Cloudy
239,1,2026-03-10,29.0,28.5,45,2.9,1013.6,9.4,56,0,6,Sunny
240,1,2026-03-11,29.8,30.9,60,7.7,1004.8,6.5,24,0,10,Cloudy
241,1,2026-03-12,29.6,31.6,39,18.6,1013.8,9.7,61,4.0,8,Partly Cloudy
242,1,2026-03-13,27.6,26.8,66,9.6,1013.6,6.5,16,0,0,Cloudy
243,1,2026-03-14,27.9,27.1,39,17.0,1016.3,9.8,59,0.7,9,Partly Cloudy
244,1,2026-03-15,28.0,29.9,15,3.7,1016.8,8.0,46,10.5,8,Sunny
245,1,2026-03-16,26.9,28.1,53,16.8,1010.5,4.7,33,0,10,Heavy Rain
246,1,2026-03-17,27.3,29.9,62,19.7,1013.5,1.7,23,9.5,9,Light Rain
247,1,2026-03-18,27.0,30.5,32,13.4,1013.6,6.5,88,0.1,7,Cloudy
248,1,2026-03-19,27.3,29.4,72,10.0,1008.3,10.1,58,1.1,8,Partly Cloudy
249,1,2026-03-20,26.9,28.1,35,19.0,1009.8,10.9,91,0,7,Clear
250,1,2026-03-21,29.4,32.5,39,22.0,1010.4,12.5,81,0.5,10,Heavy Rain
251,1,2026-03-22,29.3,31.2,25,12.4,1010.3,11.6,11,3.0,8,Partly Cloudy
252,1,2026-03-23,26.9,30.1,40,3.7,1021.8,8.9,47,2.0,4,Light Rain
253,1,2026-03-24,27.8,29.6,42,13.4,1006.9,8.6,29,2.3,7,Partly Cloudy
254,1,2026-03-25,28.4,29.7,73,7.4,1011.5,8.7,38,9.0,9,Partly Cloudy
255,1,2026-03-26,26.1,28.9,44,12.1,1014.9,8.6,40,0,6,Foggy
256,1,2026-03-27,26.9,28.7,38,12.0,1016.8,10.2,36,0,8,Light Rain
257,1,2026-03-28,26.7,28.5,45,11.8,1007.8,9.2,51,9.5,10,Heavy Rain
258,1,2026-03-29,30.4,31.0,46,13.3,1012.7,6.0,72,4.7,8,Thunderstorm
259,1,2026-03-30,26.2,28.6,45,9.3,1014.3,8.9,42,0.4,6,Light Rain
260,1,2026-03-31,28.6,27.9,32,5.5,1015.8,9.7,37,8.6,9,Cloudy
261,1,2026-04-01,31.4,34.7,42,14.5,1010.6,10.0,13,0,4,Light Rain
262,1,2026-04-02,33.7,35.5,29,10.1,1017.9,4.9,43,0,8,Thunderstorm
263,1,2026-04-03,34.3,35.3,58,15.8,1004.9,7.3,100,0,8,Thunderstorm
264,1,2026-04-04,32.3,32.6,42,8.5,1001.7,13.1,33,2.7,7,Sunny
265,1,2026-04-05,29.7,28.5,49,6.2,1006.1,6.9,11,5.2,9,Cloudy
266,1,2026-04-06,30.9,30.9,54,8.6,1010.7,10.1,16,0,9,Heavy Rain
267,1,2026-04-07,32.9,31.7,37,4.3,1012.2,8.3,68,3.8,4,Partly Cloudy
268,1,2026-04-08,33.2,35.4,51,17.7,1017.4,8.6,31,7.5,6,Light Rain
269,1,2026-04-09,33.1,32.4,63,18.2,1009.5,14.2,46,0,8,Sunny
270,1,2026-04-10,33.1,34.5,34,16.9,1014.1,7.1,68,0,6,Sunny
271,1,2026-04-11,30.0,31.4,43,8.5,1009.2,9.0,57,0,5,Sunny
272,1,2026-04-12,34.2,37.0,48,2,1006.7,8.8,19,0,9,Light Rain
273,1,2026-04-13,30.9,29.8,33,16.2,1014.1,8.1,69,0,8,Partly Cloudy
274,1,2026-04-14,30.9,33.6,43,9.0,1017.7,10.7,46,0,6,Cloudy
275,1,2026-04-15,31.8,33.3,19,12.4,1015.3,14.1,46,0,9,Sunny
276,1,2026-04-16,31.2,33.9,46,20.8,1000.7,12.7,45,6.1,4,Sunny
277,1,2026-04-17,32.1,31.8,40,12.1,1020.5,8.9,92,8.0,9,Light Rain
278,1,2026-04-18,31.4,34.8,34,13.9,1012.4,12.1,79,7.4,8,Partly Cloudy
279,1,2026-04-19,34.3,34.0,44,16.3,1013.9,5.3,43,0,7,Sunny
280,1,2026-04-20,33.4,34.8,51,13.7,1014.0,6.5,50,0,6,Sunny
281,1,2026-04-21,31.0,30.8,51,14.0,1006.6,4.7,43,0,8,Sunny
282,1,2026-04-22,30.7,31.0,34,4.5,1010.2,8.5,100,6.5,7,Partly Cloudy
283,1,2026-04-23,33.2,32.9,19,14.1,1011.6,9.3,79,0,10,Partly Cloudy
284,1,2026-04-24,32.7,34.4,65,8.6,1008.7,9.2,40,12.4,9,Partly Cloudy
285,1,2026-04-25,30.1,33.1,51,8.1,1017.4,9.7,61,7.3,8,Sunny
286,1,2026-04-26,32.9,32.3,31,12.7,1014.8,8.0,96,8.6,8,Sunny
287,1,2026-04-27,31.0,31.6,40,11.4,1010.4,10.3,61,12.3,4,Heavy Rain
288,1,2026-04-28,33.5,36.9,42,12.9,1005.5,6.2,37,6.5,6,Partly Cloudy
289,1,2026-04-29,30.4,30.5,51,22.4,1011.4,8.1,76,0.1,8,Clear
290,1,2026-04-30,30.0,31.8,15,11.0,1022.0,9.7,41,4.7,7,Heavy Rain
