AQIID,CityID,Date,AQI,AQICategory,PM2_5,PM10,CO_mg_m3,NO2_ug_m3,SO2_ug_m3,O3_ug_m3
82,1,2025-10-04,143,Poor,59.9,95.5,1.09,40.1,8.3,44.4
83,1,2025-10-05,194,Poor,94.1,150.6,1.15,40.0,9.0,25.4
84,1,2025-10-06,168,Poor,80.5,143.3,0.2,54.2,13.3,33.0
85,1,2025-10-07,187,Poor,98.7,143.4,0.75,62.7,6.8,41.8
86,1,2025-10-08,197,Poor,117.9,172.0,1.51,31.7,4.4,9.5
87,1,2025-10-09,165,Poor,97.5,141.4,0.74,44.2,13.5,45.7
88,1,2025-10-10,193,Poor,109.8,192.8,0.52,35.4,5.8,37.7
89,1,2025-10-11,170,Poor,87.2,143.4,1.0,30.2,9.5,39.8
90,1,2025-10-12,148,Poor,71.6,111.0,1.38,34.0,4.0,22.5
91,1,2025-10-13,100,Moderate,58.7,84.8,0.84,63.7,15.2,21.5
92,1,2025-10-14,164,Poor,82.8,148.2,1.38,39.8,12.3,29.8
93,1,2025-10-15,125,Poor,73.9,104.2,0.73,57.0,15.1,27.3
94,1,2025-10-16,125,Poor,59.9,84.8,1.35,35.3,9.6,21.3
95,1,2025-10-17,146,Poor,84.5,133.5,1.83,20.3,11.1,22.0
96,1,2025-10-18,156,Poor,69.6,110.3,0.28,29.8,14.7,25.9
97,1,2025-10-19,165,Poor,70.5,111.5,0.83,21.6,1,26.7
98,1,2025-10-20,169,Poor,77.6,129.5,0.87,21.4,22.1,21.6
99,1,2025-10-21,88,Moderate,40.3,66.8,1.16,22.8,11.8,22.9
100,1,2025-10-22,204,Unhealthy,100.1,142.2,0.54,37.6,13.5,22.6
101,1,2025-10-23,218,Unhealthy,96.6,151.1,1.03,23.1,8.5,18.8
102,1,2025-10-24,164,Poor,97.7,162.2,0.91,27.2,17.5,21.8
103,1,2025-10-25,128,Poor,51.5,87.4,1.01,34.5,1,25.5
104,1,2025-10-26,152,Poor,66.5,104.9,1.45,48.4,15.2,31.4
105,1,2025-10-27,130,Poor,65.0,98.4,1.5,36.5,14.3,28.7
106,1,2025-10-28,108,Poor,55.7,83.9,1.22,38.3,10.2,30.4
107,1,2025-10-29,143,Poor,83.5,123.9,0.92,44.2,20.9,2
108,1,2025-10-30,201,Unhealthy,112.9,175.4,0.99,27.5,20.2,26.9
109,1,2025-10-31,184,Poor,104.4,155.6,1.39,39.0,13.5,40.0
110,1,2025-11-01,234,Unhealthy,100.9,145.5,1.26,37.0,5.6,32.3
111,1,2025-11-02,193,Poor,112.8,169.2,0.93,32.1,14.1,21.4
112,1,2025-11-03,181,Poor,73.4,104.9,1.15,33.9,16.6,13.9
113,1,2025-11-04,190,Poor,106.3,158.7,1.7,21.4,19.0,37.5
114,1,2025-11-05,220,Unhealthy,104.2,165.5,0.75,39.7,11.7,35.4
115,1,2025-11-06,239,Unhealthy,104.5,185.1,1.02,15.1,10.6,23.5
116,1,2025-11-07,222,Unhealthy,106.4,162.9,0.88,38.4,1,15.3
117,1,2025-11-08,195,Poor,95.3,136.5,1.42,33.9,13.4,16.5
118,1,2025-11-09,227,Unhealthy,99.5,144.4,0.49,35.5,20.8,19.7
119,1,2025-11-10,158,Poor,87.5,128.2,1.13,45.4,11.6,6.5
120,1,2025-11-11,237,Unhealthy,124.4,219.4,1.58,27.6,10.9,18.1
121,1,2025-11-12,211,Unhealthy,88.6,158.4,0.31,22.7,23.4,34.4
122,1,2025-11-13,235,Unhealthy,128.0,185.1,0.91,56.0,10.2,36.8
123,1,2025-11-14,208,Unhealthy,92.2,162.8,1.49,46.9,9.9,38.0
124,1,2025-11-15,202,Unhealthy,114.8,193.5,1.8,48.9,17.1,28.0
125,1,2025-11-16,195,Poor,114.8,190.8,0.9,21.9,10.5,30.6
126,1,2025-11-17,199,Poor,79.9,115.8,1.27,34.4,1.7,28.9
127,1,2025-11-18,227,Unhealthy,95.5,158.5,1.15,40.5,12.5,32.9
128,1,2025-11-19,237,Unhealthy,105.3,151.2,1.64,30.0,8.8,19.1
129,1,2025-11-20,246,Unhealthy,114.0,186.4,1.16,20.7,19.4,27.9
130,1,2025-11-21,229,Unhealthy,117.7,196.1,1.65,12.8,15.5,23.6
131,1,2025-11-22,244,Unhealthy,100.4,176.5,1.39,14.5,15.5,32.9
132,1,2025-11-23,243,Unhealthy,103.2,180.4,1.29,54.6,17.9,50.5
133,1,2025-11-24,202,Unhealthy,114.6,172.1,0.36,45.5,12.0,25.4
134,1,2025-11-25,254,Unhealthy,123.8,186.9,1.1,28.3,13.3,47.1
135,1,2025-11-26,174,Poor,100.3,145.5,0.43,39.4,12.9,34.8
136,1,2025-11-27,207,Unhealthy,85.1,136.8,1.61,29.9,7.9,39.5
137,1,2025-11-28,210,Unhealthy,95.7,160.4,1.29,29.8,13.8,34.6
138,1,2025-11-29,186,Poor,90.2,138.0,1.12,26.3,19.9,22.5
139,1,2025-11-30,212,Unhealthy,85.2,120.4,1.8,25.1,20.3,40.2
140,1,2025-12-01,252,Unhealthy,111.5,199.8,1.27,32.6,13.2,42.8
141,1,2025-12-02,183,Poor,102.1,168.8,0.59,35.1,11.2,14.5
142,1,2025-12-03,221,Unhealthy,118.6,196.4,0.59,31.5,10.2,19.9
143,1,2025-12-04,220,Unhealthy,112.5,192.0,0.97,35.3,12.8,39.7
144,1,2025-12-05,252,Unhealthy,132.8,237.3,0.8,24.4,13.9,21.7
145,1,2025-12-06,217,Unhealthy,129.6,224.5,1.38,43.4,7.6,15.6
146,1,2025-12-07,240,Unhealthy,97.7,162.8,0.72,34.9,14.4,19.9
147,1,2025-12-08,223,Unhealthy,126.7,201.9,1.69,37.5,10.8,45.7
148,1,2025-12-09,214,Unhealthy,94.8,133.4,1.27,31.9,9.6,36.9
149,1,2025-12-10,186,Poor,98.4,166.8,0.91,25.3,17.0,19.8
150,1,2025-12-11,274,Unhealthy,161.0,227.5,0.57,56.9,13.1,31.1
151,1,2025-12-12,214,Unhealthy,102.3,163.9,1.74,28.5,14.0,37.9
152,1,2025-12-13,187,Poor,108.2,163.9,0.59,42.6,15.9,33.0
153,1,2025-12-14,212,Unhealthy,115.4,204.1,1.83,16.8,3.3,16.0
154,1,2025-12-15,259,Unhealthy,130.2,228.7,0.73,25.8,4.0,24.7
155,1,2025-12-16,201,Unhealthy,112.5,161.5,0.77,56.8,20.8,32.8
156,1,2025-12-17,185,Poor,95.6,156.9,1.26,30.3,13.4,22.8
157,1,2025-12-18,221,Unhealthy,103.0,164.2,1.26,35.5,12.3,21.0
158,1,2025-12-19,158,Poor,79.6,122.4,1.12,22.3,5.2,35.0
159,1,2025-12-20,192,Poor,86.8,128.1,0.2,38.6,6.3,26.3
160,1,2025-12-21,198,Poor,87.2,144.8,1.15,48.8,11.7,49.8
161,1,2025-12-22,280,Unhealthy,152.5,214.2,1.61,34.9,13.3,10.3
162,1,2025-12-23,179,Poor,80.9,125.2,0.95,34.8,10.9,20.0
163,1,2025-12-24,167,Poor,88.9,159.9,2.02,54.9,21.5,29.9
164,1,2025-12-25,196,Poor,112.5,186.3,1.77,21.8,7.8,23.7
165,1,2025-12-26,251,Unhealthy,125.1,205.6,0.61,51.1,10.6,16.2
166,1,2025-12-27,252,Unhealthy,110.0,163.3,0.72,28.3,13.4,43.8
167,1,2025-12-28,292,Unhealthy,162.6,232.3,1.7,30.6,10.9,26.0
168,1,2025-12-29,235,Unhealthy,135.7,194.0,1.03,31.8,16.4,29.6
169,1,2025-12-30,178,Poor,72.8,127.2,1.59,22.0,15.7,46.1
170,1,2025-12-31,201,Unhealthy,113.1,190.5,1.27,29.9,17.2,40.4
171,1,2026-01-01,249,Unhealthy,144.7,234.9,1.82,38.2,6.1,21.2
172,1,2026-01-02,269,Unhealthy,150.9,214.8,1.18,14.7,9.0,24.9
173,1,2026-01-03,228,Unhealthy,113.1,202.9,0.94,50.2,11.0,16.8
174,1,2026-01-04,236,Unhealthy,117.0,171.7,1.28,70.1,1.3,39.1
175,1,2026-01-05,202,Unhealthy,107.0,171.9,1.03,18.8,5.9,29.0
176,1,2026-01-06,233,Unhealthy,98.2,146.6,1.79,24.6,9.5,43.0
177,1,2026-01-07,161,Poor,90.3,145.9,0.91,40.6,18.7,38.7
178,1,2026-01-08,216,Unhealthy,118.4,176.7,1.3,41.0,12.5,31.4
179,1,2026-01-09,220,Unhealthy,95.4,165.7,1.41,33.8,13.2,40.8
180,1,2026-01-10,163,Poor,65.7,100.4,1.14,46.2,8.5,18.4
181,1,2026-01-11,236,Unhealthy,106.9,180.6,1.3,24.6,4.5,40.5
182,1,2026-01-12,228,Unhealthy,99.4,165.1,1.24,72.3,22.8,36.2
183,1,2026-01-13,214,Unhealthy,106.7,174.6,0.61,28.2,11.0,21.8
184,1,2026-01-14,254,Unhealthy,119.6,189.7,1.52,34.4,10.8,36.5
185,1,2026-01-15,270,Unhealthy,119.7,169.2,0.31,36.6,7.1,9.8
186,1,2026-01-16,257,Unhealthy,105.9,186.0,1.01,27.1,13.8,25.6
187,1,2026-01-17,128,Poor,69.6,116.8,0.58,71.1,11.9,20.4
188,1,2026-01-18,203,Unhealthy,90.1,147.6,0.46,36.2,14.1,21.5
189,1,2026-01-19,258,Unhealthy,135.3,242.1,1.26,64.1,12.6,13.9
190,1,2026-01-20,224,Unhealthy,99.1,155.2,1.3,20.3,19.7,13.3
191,1,2026-01-21,202,Unhealthy,101.7,144.2,1.97,38.3,13.8,31.3
192,1,2026-01-22,245,Unhealthy,145.7,221.4,0.95,49.6,15.4,24.9
193,1,2026-01-23,181,Poor,84.0,143.4,1.64,56.4,8.8,15.9
194,1,2026-01-24,198,Poor,92.5,162.5,0.43,52.7,5.4,33.1
195,1,2026-01-25,264,Unhealthy,157.7,278.0,1.63,35.0,10.7,20.9
196,1,2026-01-26,256,Unhealthy,136.3,223.8,1.3,26.5,16.3,26.6
197,1,2026-01-27,258,Unhealthy,132.5,225.4,0.86,40.8,2.6,10.6
198,1,2026-01-28,205,Unhealthy,120.3,181.1,0.94,44.6,6.7,2
199,1,2026-01-29,218,Unhealthy,121.2,209.6,0.46,25.5,13.4,38.4
200,1,2026-01-30,305,Hazardous,137.9,244.2,0.53,15.4,23.1,24.3
201,1,2026-01-31,266,Unhealthy,128.7,221.2,0.83,32.0,18.3,30.3
202,1,2026-02-01,176,Poor,84.3,134.8,0.84,52.9,11.4,25.6
203,1,2026-02-02,173,Poor,99.8,174.2,1.08,56.5,16.8,19.8
204,1,2026-02-03,200,Poor,82.1,135.6,1.25,35.6,11.7,45.5
205,1,2026-02-04,192,Poor,96.7,135.6,0.99,38.3,12.4,27.4
206,1,2026-02-05,167,Poor,90.6,136.1,0.75,48.0,5.4,39.7
207,1,2026-02-06,134,Poor,75.3,116.0,2.11,33.5,12.7,40.7
208,1,2026-02-07,158,Poor,82.3,143.5,0.93,38.9,10.3,29.2
209,1,2026-02-08,202,Unhealthy,108.9,178.7,1.0,34.6,9.8,21.9
210,1,2026-02-09,159,Poor,92.0,158.0,0.91,40.0,11.0,25.1
211,1,2026-02-10,145,Poor,67.6,95.2,0.76,35.7,16.5,47.9
212,1,2026-02-11,170,Poor,99.6,142.3,0.95,35.1,8.3,31.3
213,1,2026-02-12,198,Poor,109.5,184.9,0.96,29.1,14.1,30.3
214,1,2026-02-13,96,Moderate,50.4,84.5,1.64,22.0,14.1,34.3
215,1,2026-02-14,129,Poor,53.1,82.0,0.9,40.4,11.5,5.5
216,1,2026-02-15,155,Poor,70.6,115.6,0.96,54.9,7.8,17.3
217,1,2026-02-16,162,Poor,74.8,132.9,0.8,27.6,11.2,30.9
218,1,2026-02-17,152,Poor,63.5,109.2,1.12,48.0,20.3,45.1
219,1,2026-02-18,148,Poor,73.8,124.3,0.8,37.9,9.3,13.4
220,1,2026-02-19,133,Poor,61.8,100.7,1.04,25.8,18.7,5.0
221,1,2026-02-20,199,Poor,91.8,161.2,0.82,25.8,10.1,19.0
222,1,2026-02-21,210,Unhealthy,106.9,188.0,1.2,66.7,5.7,21.1
223,1,2026-02-22,146,Poor,81.8,130.7,1.74,65.0,13.4,28.1
224,1,2026-02-23,120,Poor,64.0,106.8,0.39,38.1,15.4,19.0
225,1,2026-02-24,172,Poor,79.9,120.6,1.57,38.5,13.9,38.1
226,1,2026-02-25,185,Poor,78.5,113.9,0.68,31.9,3.5,34.5
227,1,2026-02-26,111,Poor,53.3,75.8,1.35,22.7,7.7,11.0
228,1,2026-02-27,116,Poor,50.2,87.1,1.47,46.2,10.0,22.5
229,1,2026-02-28,94,Moderate,46.9,83.1,1.36,56.2,12.9,10.7
230,1,2026-03-01,193,Poor,89.5,129.5,0.56,18.3,3.9,34.9
231,1,2026-03-02,176,Poor,93.4,161.6,0.48,31.8,12.8,25.4
232,1,2026-03-03,187,Poor,91.5,163.5,2.21,15.7,11.4,37.3
233,1,2026-03-04,95,Moderate,55.9,79.5,1.34,74.2,8.8,28.0
234,1,2026-03-05,106,Poor,50.0,89.3,1.09,44.8,6.4,14.5
235,1,2026-03-06,134,Poor,62.2,107.3,0.33,43.0,15.7,20.0
236,1,2026-03-07,130,Poor,76.7,115.6,1.09,25.5,9.7,35.8
237,1,2026-03-08,141,Poor,83.0,147.4,0.7,31.2,9.0,35.2
238,1,2026-03-09,113,Poor,67.2,94.2,1.4,28.9,22.7,28.0
239,1,2026-03-10,218,Unhealthy,117.1,171.5,0.89,47.2,9.6,12.6
240,1,2026-03-11,150,Poor,83.2,132.3,0.56,27.2,16.3,20.0
241,1,2026-03-12,202,Unhealthy,120.8,209.8,0.93,47.8,5.8,21.5
242,1,2026-03-13,131,Poor,63.0,94.1,1.75,25.1,3.5,23.6
243,1,2026-03-14,175,Poor,93.8,142.8,1.51,18.4,10.2,31.3
244,1,2026-03-15,71,Moderate,39.8,60.3,1.06,31.6,18.6,24.7
245,1,2026-03-16,147,Poor,69.2,110.1,1.21,44.3,7.9,22.6
246,1,2026-03-17,157,Poor,78.2,122.6,0.79,72.9,7.7,22.9
247,1,2026-03-18,195,Poor,91.0,158.5,0.96,26.6,3.7,24.6
248,1,2026-03-19,178,Poor,72.5,112.8,1.48,40.7,10.2,28.5
249,1,2026-03-20,146,Poor,60.0,100.1,0.94,39.3,12.2,32.2
250,1,2026-03-21,227,Unhealthy,104.8,177.6,1.37,35.9,12.5,19.6
251,1,2026-03-22,205,Unhealthy,105.5,177.9,2.16,35.5,8.0,25.5
252,1,2026-03-23,204,Unhealthy,85.3,132.4,0.77,29.8,10.1,24.8
253,1,2026-03-24,147,Poor,83.7,131.3,0.9,34.3,15.8,40.5
254,1,2026-03-25,158,Poor,80.7,145.1,1.36,29.8,17.7,21.2
255,1,2026-03-26,172,Poor,73.8,127.2,1.19,42.1,6.3,51.4
256,1,2026-03-27,105,Poor,62.8,103.1,0.78,43.5,6.0,33.4
257,1,2026-03-28,186,Poor,108.9,188.5,1.53,27.3,10.8,7.5
258,1,2026-03-29,168,Poor,89.9,157.7,1.05,41.9,7.1,27.9
259,1,2026-03-30,121,Poor,55.8,90.4,1.17,35.7,10.4,28.7
260,1,2026-03-31,224,Unhealthy,122.4,214.2,0.89,36.0,16.4,2
261,1,2026-04-01,103,Poor,49.5,76.4,0.77,45.2,10.6,31.4
262,1,2026-04-02,195,Poor,102.1,148.9,1.48,21.7,9.1,44.2
263,1,2026-04-03,106,Poor,45.4,80.9,1.06,31.0,3.7,7.3
264,1,2026-04-04,166,Poor,90.8,159.1,0.35,31.2,13.3,24.9
265,1,2026-04-05,180,Poor,87.7,128.6,1.53,25.8,12.3,30.4
266,1,2026-04-06,127,Poor,66.5,94.5,1.49,36.3,18.1,15.4
267,1,2026-04-07,102,Poor,60.3,93.6,0.64,43.2,19.6,35.1
268,1,2026-04-08,178,Poor,79.0,131.6,1.17,35.7,14.0,28.5
269,1,2026-04-09,191,Poor,80.3,114.6,0.83,17.1,6.9,28.1
270,1,2026-04-10,213,Unhealthy,104.6,187.8,1.26,45.3,9.7,27.2
271,1,2026-04-11,142,Poor,67.0,94.6,0.91,25.0,9.6,40.1
272,1,2026-04-12,130,Poor,52.8,76.3,0.95,44.1,4.4,39.7
273,1,2026-04-13,175,Poor,77.7,110.6,1.05,52.8,14.2,41.5
274,1,2026-04-14,181,Poor,89.1,145.0,1.92,51.2,4.2,47.0
275,1,2026-04-15,201,Unhealthy,80.7,143.4,0.2,29.9,4.5,55.2
276,1,2026-04-16,159,Poor,70.4,104.6,1.33,23.1,11.0,25.8
277,1,2026-04-17,199,Poor,83.5,146.3,0.42,33.2,15.0,38.4
278,1,2026-04-18,215,Unhealthy,128.1,210.9,1.54,55.1,19.1,23.3
279,1,2026-04-19,153,Poor,73.9,109.6,2.24,28.0,14.7,24.3
280,1,2026-04-20,125,Poor,60.1,88.3,0.64,15.9,15.9,26.8
281,1,2026-04-21,130,Poor,73.7,127.6,1.64,54.6,16.7,27.4
282,1,2026-04-22,151,Poor,84.1,149.9,1.01,39.2,10.5,34.8
283,1,2026-04-23,175,Poor,103.0,169.4,1.18,61.1,5.2,31.9
284,1,2026-04-24,127,Poor,71.9,105.0,0.52,46.6,14.4,13.2
285,1,2026-04-25,148,Poor,81.6,146.8,2.0,25.2,8.8,32.4
286,1,2026-04-26,138,Poor,69.1,121.4,0.85,42.4,6.4,43.4
287,1,2026-04-27,175,Poor,100.3,170.8,1.4,16.4,18.7,20.0
288,1,2026-04-28,114,Poor,55.1,79.6,1.04,21.2,18.2,11.6
289,1,2026-04-29,159,Poor,88.3,127.5,0.86,46.5,16.3,30.1
290,1,2026-04-30,146,Poor,60.0,107.1,1.26,35.6,3.2,28.1
291,1,2026-05-01,123,Poor,50.2,73.7,1.87,19.9,12.3,33.2
292,1,2026-05-02,135,Poor,55.3,83.4,0.89,60.1,15.4,23.5
293,1,2026-05-03,221,Unhealthy,99.9,145.7,1.92,17.5,17.0,40.4
294,1,2026-05-04,165,Poor,89.1,155.0,1.78,43.8,13.1,42.7
295,1,2026-05-05,107,Poor,61.7,96.5,0.2,34.8,18.9,31.0
296,1,2026-05-06,160,Poor,68.6,97.8,1.01,17.5,14.1,31.8
297,1,2026-05-07,163,Poor,97.0,161.4,1.08,50.4,15.5,39.9
298,1,2026-05-08,172,Poor,99.8,148.5,0.81,45.5,10.3,21.7
299,1,2026-05-09,159,Poor,76.0,128.8,0.4,30.8,8.0,36.0
300,1,2026-05-10,187,Poor,77.9,110.2,1.22,22.8,20.3,37.1
301,1,2026-05-11,103,Poor,43.5,73.8,1.28,35.9,11.6,17.3
302,1,2026-05-12,173,Poor,77.9,124.9,1.47,33.1,6.3,32.7
303,1,2026-05-13,124,Poor,69.4,109.2,1.3,16.7,12.6,23.3
304,1,2026-05-14,147,Poor,83.1,134.7,1.16,50.8,14.5,32.6
305,1,2026-05-15,205,Unhealthy,88.2,136.3,0.94,27.8,12.9,20.5
306,1,2026-05-16,191,Poor,84.9,133.2,1.52,11.7,10.6,43.0
307,1,2026-05-17,202,Unhealthy,84.9,142.2,0.73,50.5,13.9,34.5
308,1,2026-05-18,101,Poor,54.3,89.7,1.18,19.1,20.6,3.4
309,1,2026-05-19,145,Poor,77.5,113.6,1.06,35.7,3.1,34.5
310,1,2026-05-20,169,Poor,70.8,99.5,1.0,33.8,6.2,42.5
311,1,2026-05-21,173,Poor,83.2,138.1,1.14,31.1,4.0,22.0
312,1,2026-05-22,176,Poor,72.6,127.8,1.6,27.6,17.2,18.8
313,1,2026-05-23,146,Poor,84.7,144.1,1.46,23.6,14.0,38.1
314,1,2026-05-24,156,Poor,87.5,134.7,1.68,14.0,11.9,18.1
315,1,2026-05-25,179,Poor,84.5,151.5,1.08,25.1,16.1,44.3
316,1,2026-05-26,131,Poor,68.6,100.9,1.36,26.9,17.4,2
317,1,2026-05-27,190,Poor,86.2,141.8,0.9,9.1,7.8,35.8
318,1,2026-05-28,101,Poor,58.7,102.4,0.92,35.1,18.0,9.3
319,1,2026-05-29,141,Poor,59.7,84.9,0.85,36.1,12.1,18.4
320,1,2026-05-30,188,Poor,94.6,170.0,1.39,33.2,9.8,10.3
321,1,2026-05-31,80,Moderate,44.1,66.6,0.71,52.3,15.0,22.4
322,1,2026-06-01,207,Unhealthy,99.9,168.2,0.49,20.1,4.8,12.9
323,1,2026-06-02,126,Poor,71.8,107.6,1.44,20.0,18.4,25.6
324,1,2026-06-03,198,Poor,103.4,146.9,1.27,25.9,8.5,25.5
325,1,2026-06-04,160,Poor,79.6,128.3,1.17,58.1,13.4,19.4
326,1,2026-06-05,175,Poor,104.9,147.0,1.22,33.7,19.8,19.5
327,1,2026-06-06,174,Poor,91.3,161.7,0.98,28.5,17.1,25.9
328,1,2026-06-07,183,Poor,93.0,159.0,0.86,33.0,10.3,37.2
329,1,2026-06-08,119,Poor,66.3,104.6,1.07,30.2,14.9,43.3
330,1,2026-06-09,164,Poor,97.2,150.1,0.94,45.4,15.0,30.2
331,1,2026-06-10,182,Poor,76.1,119.9,1.47,17.1,11.5,37.1
